"スキル１番は［攻撃］コマンドを選択したときに使用されます。" -> "Skill number 1 is used when you select the Attack command."
"技名非表示" -> "Technique name hidden"
"技名非表示" -> "Technique name hidden"
"技名非表示" -> "Technique name hidden"
"技名非表示" -> "Technique name hidden"
"技名非表示" -> "Technique name hidden"
"技名非表示" -> "Technique name hidden"
"技名非表示" -> "Technique name hidden"
"技名非表示" -> "Technique name hidden"
"技名非表示" -> "Technique name hidden"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中補正率" -> "Skill hit correction ratio"
"技名非表示" -> "Technique name hidden"
"技名非表示" -> "Technique name hidden"
"技名非表示" -> "Technique name hidden"
"スキル命中率" -> "Skill Accuracy"
"技名非表示" -> "Technique name hidden"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"技名非表示" -> "Technique name hidden"
"技名非表示" -> "Technique name hidden"
"技名非表示" -> "Technique name hidden"
"技名非表示" -> "Technique name hidden"
"技名非表示" -> "Technique name hidden"
"敵味方全体" -> "Enemy ally"
"技名非表示" -> "Technique name hidden"
"敵味方全体" -> "Enemy ally"
"技名非表示" -> "Technique name hidden"
"技名非表示" -> "Technique name hidden"
"技名非表示" -> "Technique name hidden"
"敵味方全体" -> "Enemy ally"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中率" -> "Skill Accuracy"
"技名非表示" -> "Technique name hidden"
"敵味方ランダム" -> "Enemy ally or random"
"使用者除外" -> "User exclusion"
"重複限界" -> "Overlap limit"
"食料集め" -> "Food collection"
"は食料集めに向かった……" -> "I headed for food collection ......"
"技名非表示" -> "Technique name hidden"
"効果文章不要" -> "No effect sentence required"
"自動戦闘不可" -> "No automatic combat"
"管狐" -> "Duck fox"
"の管狐がサポートする！" -> "Tube fox supports it!"
"技名非表示" -> "Technique name hidden"
"効果文章不要" -> "No effect sentence required"
"自動戦闘不可" -> "No automatic combat"
"遊ぶ：コイン投げ" -> "Play: coin toss"
"はコインを投げつけた！" -> "I threw a coin!"
"技名非表示" -> "Technique name hidden"
"スキル命中率" -> "Skill Accuracy"
"遊ぶ：蛇転がり" -> "Play: Snake rolling"
"はごろごろと転がった！" -> "I rolled around!"
"長い蛇尾が敵を巻き込む！" -> "A long snake is involved in enemies!"
"技名非表示" -> "Technique name hidden"
"錬金素材自動ゲット" -> "Alchemical material automatic get"
"の魔力が錬金素材を精製する！" -> "Magical power to refine the alchemical material!"
"技名非表示" -> "Technique name hidden"
"効果文章不要" -> "No effect sentence required"
"自動戦闘不可" -> "No automatic combat"
"魔導書ページ自動ゲット" -> "Magical book page automatic get"
"の魔力が魔導書のページを精製する！" -> "Magical power to refine pages of magical books!"
"技名非表示" -> "Technique name hidden"
"効果文章不要" -> "No effect sentence required"
"自動戦闘不可" -> "No automatic combat"
"シャッフルスキル" -> "Shuffle skills"
"の魔技の威力が2倍になる！" -> "The power of the magical skill of doubles!"
"シャッフルスキル" -> "Shuffle skills"
"の海技の威力が2倍になる！" -> "The power of maritime skill doubles!"
"シャッフルスキル" -> "Shuffle skills"
"の粘液技の威力が2倍になる！" -> "The power of my mucilage technique doubles!"
"シャッフルスキル" -> "Shuffle skills"
"の獣技の威力が2倍になる！" -> "The power of the animal technique doubles!"
"シャッフルスキル" -> "Shuffle skills"
"の蛇技の威力が2倍になる！" -> "The power of the snake technique doubles!"
"シャッフルスキル" -> "Shuffle skills"
"の触手技の威力が2倍になる！" -> "The power of the tentacle technique doubles!"
"シャッフルスキル" -> "Shuffle skills"
"の翼技の威力が2倍になる！" -> "The power of the wing technique doubles!"
"シャッフルスキル" -> "Shuffle skills"
"の虫技の威力が2倍になる！" -> "The power of the insect technique doubles!"
"シャッフルスキル" -> "Shuffle skills"
"の植物技の威力が2倍になる！" -> "The power of plant technique doubles!"
"シャッフルスキル" -> "Shuffle skills"
"の屍技の威力が2倍になる！" -> "The power of the dead technique doubles!"
"シャッフルスキル" -> "Shuffle skills"
"の造技の威力が2倍になる！" -> "The power of the technique of doubles!"
"シャッフルスキル" -> "Shuffle skills"
"の自然感応の威力が2倍になる！" -> "The natural sense of power of doubles!"
"シャッフルスキル" -> "Shuffle skills"
"のブレスの威力が2倍になる！" -> "The power of Brace of doubles!"
"魔力集中" -> "Magical concentration"
"効果：魔力・精神力アップ" -> "Effect: Increase magical power"
"力を溜め、次のターンの魔力と精神力をアップさせる" -> "Save power and increase magical power and mental power of the next turn"
"は魔力を集中した！" -> "I concentrated magical power!"
"必殺技 3" -> "Its Special Move 3"
"自動戦闘不可" -> "No automatic combat"
"祈り" -> "prayer"
"は天に祈った！" -> "I prayed to heaven!"
"自動戦闘不可" -> "No automatic combat"
"攻撃属性 1" -> "Attack Attribute 1"
"スキル命中率" -> "Skill Accuracy"
"王の魔導" -> "King's magic"
"攻撃属性 4" -> "Attack Attribute 4"
"スキル命中率" -> "Skill Accuracy"
"法王の祈りにより、味方全体のHPとSPが回復する" -> "By prayer of the pope, the HP and the SP of the ally are recovered"
"は癒しの波動をもたらした！" -> "Brought a wave of healing!"
"自動戦闘不可" -> "No automatic combat"
"攻撃属性 1" -> "Attack Attribute 1"
"スキル命中率" -> "Skill Accuracy"
"の仲間が助けに来た！" -> "A friend of mine came to help!"
"技名非表示" -> "Technique name hidden"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"の仲間が助けに来た！" -> "A friend of mine came to help!"
"技名非表示" -> "Technique name hidden"
"の仲間が助けに来た！" -> "A friend of mine came to help!"
"技名非表示" -> "Technique name hidden"
"の仲間が助けに来た！" -> "A friend of mine came to help!"
"技名非表示" -> "Technique name hidden"
"の仲間が助けに来た！" -> "A friend of mine came to help!"
"技名非表示" -> "Technique name hidden"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"の聖属性が強化された！" -> "The holy attributes of St. Were strengthened!"
"の闇属性が強化された！" -> "The dark attribute of the one was strengthened!"
"パッシブ能力防具 1760" -> "Passive ability armor 1760"
"記憶容量 1" -> "Storage capacity 1"
"パッシブ能力防具 1761" -> "Passive ability armor 1761"
"記憶容量 1" -> "Storage capacity 1"
"パッシブ能力防具 1762" -> "Passive ability armor 1762"
"記憶容量 1" -> "Storage capacity 1"
"酔いどれおかしら" -> "I wonder if you are drunk"
"「海賊技」を使用可能、威力がアップ" -> "\"Pirate technique\" can be used, power increases"
"指示を無視して酒を飲む事がある" -> "Sometimes I drink while ignoring instructions"
"パッシブ能力防具 1763" -> "Passive ability armor 1763"
"記憶容量 1" -> "Storage capacity 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"スキル命中補正率" -> "Skill hit correction ratio"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル会心率" -> "Skill Concentration"
"スキル命中補正率" -> "Skill hit correction ratio"
"スキル命中率" -> "Skill Accuracy"
"スキル命中補正率" -> "Skill hit correction ratio"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中補正率" -> "Skill hit correction ratio"
"スキル命中率" -> "Skill Accuracy"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"攻撃属性 1" -> "Attack Attribute 1"
"吹雪の剣の力を解放する" -> "Release the power of a snowstorm sword"
"は吹雪の剣の力を解放した！" -> "We released the sword power of the snowstorm!"
"草薙の剣の力を解放する" -> "Release the power of the Kusanagi sword"
"は草薙の剣の力を解放した！" -> "We released the power of the Kusanagi sword!"
"ペルセウスの剣の力を解放する" -> "Release the power of the Perseus sword"
"はペルセウスの剣の力を解放した！" -> "He released the power of the Perseus sword!"
"攻撃属性 1" -> "Attack Attribute 1"
"斬鉄剣の力を解放する" -> "Release the power of the knife"
"は斬鉄剣の力を解放した！" -> "We released the power of the thigh-ironed sword!"
"レーヴァテイン" -> "Reyvatein"
"レーヴァテインの力を解放する" -> "Releasing the power of Reyvatein"
"はレーヴァテインの力を解放した！" -> "Released the power of Reyvatein!"
"攻撃属性 1" -> "Attack Attribute 1"
"エテメンアンキの力を解放する" -> "Release the power of the Ettendenchi"
"はエテメンアンキの力を解放した！" -> "He released the power of the Ettendenqui!"
"風槍シルフ" -> "Windstone Silf"
"シルフの力を解放する" -> "Release the power of Silfu"
"はシルフの力を解放した！" -> "He released the power of Silf!"
"ロンギヌスの力を解放する" -> "Release the power of Longinus"
"はロンギヌスの力を解放した！" -> "He released the power of Longinus!"
"攻撃属性 1" -> "Attack Attribute 1"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"グングニルの力を解放する" -> "Release the power of Gunguril"
"はグングニルの力を解放した！" -> "He released the power of Gungnir!"
"攻撃属性 1" -> "Attack Attribute 1"
"村雨の力を解放する" -> "Release the power of the rainy season"
"は村雨の力を解放した！" -> "We released the power of the rain!"
"攻撃属性 1" -> "Attack Attribute 1"
"物干し竿の力を解放する" -> "Release the power of the clothespin"
"は物干し竿の力を解放した！" -> "We released the power of the clothespin!"
"天叢雲の力を解放する" -> "Release the power of the celestial cloud"
"は天叢雲の力を解放した！" -> "He released the power of the celestial clouds!"
"夢幻の力を解放する" -> "Release the power of dreams"
"は夢幻の力を解放した！" -> "He released the power of dreams!"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"月下美人の力を解放する" -> "Release the power of Tsuki Shimido"
"は月下美人の力を解放した！" -> "We released the power of Tsukiyuki Shimbun!"
"花神楽の力を解放する" -> "Flower Release the power of Kagura"
"は花神楽の力を解放した！" -> "He released the power of flower Kagura!"
"攻撃属性 1" -> "Attack Attribute 1"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"日輪刀" -> "Japanese wheel sword"
"日輪刀の力を解放する" -> "Release the power of the Japanese sword"
"は日輪刀の力を解放した！" -> "He released the power of the Japanese sword!"
"水刀ウンディーネ" -> "Water sword undine"
"ウンディーネの力を解放する" -> "Release the power of Undine"
"はウンディーネの力を解放した！" -> "Unleashed the power of Undine!"
"フツノミタマの力を解放する" -> "Releasing the power of Futsunitama"
"はフツノミタマの力を解放した！" -> "We released the power of Futsunitama!"
"炎拳サラマンダー" -> "Flame Fist Salamander"
"サラマンダーの力を解放する" -> "Release Salamander's power"
"はサラマンダーの力を解放した！" -> "He released the power of Salamander!"
"攻撃属性 1" -> "Attack Attribute 1"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"重複アニメ無効" -> "Duplicate animation invalid"
"スキル命中率" -> "Skill Accuracy"
"土斧ノーム" -> "Tsutomu Aonome"
"ノームの力を解放する" -> "Releasing the power of Nome"
"はノームの力を解放した！" -> "We released the power of Nome!"
"如意棒の力を解放する" -> "Release the power of Wisdom Bars"
"は如意棒の力を解放した！" -> "He released the power of Wisdom Bar!"
"ミョルニルの力を解放する" -> "Release Myeolnil's power"
"はミョルニルの力を解放した！" -> "Liberated the power of Mjolnir!"
"攻撃属性 1" -> "Attack Attribute 1"
"ヘルの鎌" -> "Sickle of Hell"
"ヘルの鎌の力を解放する" -> "Release Hell's scythe's power"
"はヘルの鎌の力を解放した！" -> "He released the power of the sickle of Hell!"
"ハデスの鎌の力を解放する" -> "Release the power of the sadness of Hades"
"はハデスの鎌の力を解放した！" -> "He released the power of the sickle of Hades!"
"ワールドクロニクルの力を解放する" -> "Release the power of the world chronicle"
"はワールドクロニクルの力を解放した！" -> "He released the power of the world chronicle!"
